Spike Factor,Spike Duration,Iteration,Grad (mean),Exp Avg (mean),Exp Avg Sq (mean),Denom (mean),Norm Grad (mean)
0.0,10,7,-5.2459152477216284e-11,-2.987720747138438e-11,3.733722555909044e-21,1.0054372498884808e-08,-0.002984543463642981
0.0,10,8,-5.2459152477216284e-11,-3.213540197196757e-11,4.19834010793869e-21,1.0057656341351832e-08,-0.003209911776240165
0.0,10,9,-5.2459152477216284e-11,-3.4167777022492436e-11,4.662493042416306e-21,1.0060759944668479e-08,-0.003412707281667409
0.0,10,10,2.5514202938992142e-05,2.551389542899895e-06,2.524033149414821e-10,1.3761972847957788e-05,0.392880968573626
0.0,10,11,9.068868369516981e-05,1.1365118958126887e-05,6.512452496851965e-10,2.3594816955538424e-05,0.1809336501011008
0.0,10,12,9.166008748786878e-05,1.9394615811101074e-05,1.108815107763728e-09,3.1696929962072806e-05,0.4313633837335814
0.0,10,13,0.0001118827968784995,2.864343391784091e-05,1.3759468664979819e-09,3.6153740975288774e-05,0.4075972591934246
0.0,10,14,0.00017610993000429667,4.3390083526486484e-05,1.6633817528144136e-09,4.0223935807236976e-05,0.8406641283333385
0.0,10,15,-9.635785486792372e-05,2.9415289687045465e-05,2.149142473592919e-09,4.595704023985352e-05,0.6105544805325706
0.0,10,16,0.00010454038883052306,3.692779960139323e-05,2.443150356154743e-09,4.89368265751183e-05,0.6890528810838131
0.0,10,17,-0.00028737417830241034,4.497601811012883e-06,2.8751010410896353e-09,5.3303778269415996e-05,0.03627461790591757
0.0,10,18,0.00017875854794630026,2.1923696424541614e-05,3.245709964596275e-09,5.665141284906735e-05,0.31168238211549576
0.0,10,19,-3.896564600894365e-05,1.5834762181193086e-05,3.5549613987347457e-09,5.93328245104187e-05,0.17937554674018866
0.0,10,20,-2.6899837003148697e-05,1.1561302262758906e-05,3.907860144679378e-09,6.228176218995917e-05,0.14064689429820199
0.0,10,21,0.00023142540915522408,3.3547712952005425e-05,4.33647764222967e-09,6.553947712743048e-05,0.4940030004473917
0.0,10,22,0.00010860426046070473,4.105336770287535e-05,4.66369804540994e-09,6.800133674494308e-05,0.6092645217398616
0.0,10,23,-3.59196810612559e-05,3.3356062826462224e-05,4.960622545145588e-09,7.016109002534336e-05,0.45115741179244034
0.0,10,24,7.086316668487942e-05,3.710677321230395e-05,5.165606588228123e-09,7.158283712083293e-05,0.4841012261240102
0.0,10,25,0.00034143939339354855,6.754003523042839e-05,5.5080364559643135e-09,7.398158056371698e-05,0.8830116528002809
0.0,10,26,0.0002007466582171078,8.086069752909633e-05,5.910324681086714e-09,7.663270734076968e-05,1.0264376529381805
0.0,10,27,-7.438526850831689e-05,6.5336100925355e-05,6.164158295648251e-09,7.823989129714337e-05,0.8128529790540354
0.0,10,28,6.934165258235992e-05,6.57366560910555e-05,6.455870970567981e-09,8.003419223210644e-05,0.7873906630114583
0.0,10,29,3.2318326362349565e-05,6.23948231181849e-05,6.733667042841738e-09,8.180153505646493e-05,0.7270960788499736
0.0,10,30,0.0001371451019542759,6.986985100179401e-05,7.1473189898967095e-09,8.42641840826531e-05,0.8212794348246593
0.0,10,31,6.5601187361225e-05,6.944298463773711e-05,7.5137864840673e-09,8.637694074063836e-05,0.7927425862671285
0.0,10,32,-0.00023282128238634946,3.921655793532845e-05,7.857284020924682e-09,8.841388535031943e-05,0.40395024947420677
0.0,10,33,-0.00015000008816520546,2.029489332527507e-05,8.126511038368717e-09,8.989124774848144e-05,0.19450771253320565
0.0,10,34,0.00011550734096731066,2.9816138089478627e-05,8.493285631599746e-09,9.191504886940985e-05,0.2978791338543602
0.0,10,35,0.00015477316295948887,4.231184057647965e-05,8.727804176441502e-09,9.318162498585852e-05,0.42821602017974253
0.0,10,36,-4.999904561856033e-05,3.308075195697565e-05,9.023341438978557e-09,9.472880558597593e-05,0.32624983476373437
0.0,10,37,0.00016795220644551159,4.6567897405829243e-05,9.53060898574617e-09,9.736237054449422e-05,0.43389324500211623
0.0,10,38,-8.28370861567633e-05,3.362739904956999e-05,9.86794985852914e-09,9.906531683271885e-05,0.29970290045492365
0.0,10,39,-6.0107531194421185e-05,2.4253906025170876e-05,1.017200236335843e-08,0.00010054184387455929,0.19588541386699942
0.0,10,40,0.00012741571074796845,3.457008649745063e-05,1.0473848714210154e-08,0.00010206247805495509,0.2997279229108145
0.0,10,41,-3.850826460267306e-05,2.7262251387438268e-05,1.0858326747954096e-08,0.00010393707494137925,0.2246193384671173
0.0,10,42,-0.000127320627985601,1.1803963450134343e-05,1.109777191466378e-08,0.00010503217279055885,0.07613047896430536
0.0,10,43,0.00010216263585108357,2.0839830690229265e-05,1.1467363579723202e-08,0.00010678048540009649,0.17591044574880887
0.0,10,44,-0.00011288848238631582,7.4669993825747656e-06,1.1668347020687907e-08,0.00010772160765412802,0.041662787091076306
0.0,10,45,7.826829077260452e-05,1.4547128521577739e-05,1.1839225529610515e-08,0.00010850769035813594,0.11887208861303324
0.0,10,46,-0.00016259075814289037,-3.16666014486907e-06,1.230823681465499e-08,0.00011065967745521452,-0.06452222703613672
0.0,10,47,0.0002549510705215103,2.264511292176886e-05,1.2693090301632359e-08,0.00011239340005550196,0.17542010266123997
0.0,10,48,0.0001347913248915413,3.3859734118746094e-05,1.294303573827797e-08,0.00011350892996234906,0.28009060183817425
0.0,10,49,-0.00022298831685364535,8.174929021506957e-06,1.316102496265358e-08,0.00011446462623599949,0.049844009641320255
1e-05,1,0,1.0000049402867247e-05,1.0000049402867243e-06,1.0000098845148691e-13,3.262293282726725e-07,3.0653434670180837
1e-05,1,1,-6.813475580188459e-05,-5.913471133930408e-06,3.327257094146729e-10,1.5454767527929137e-05,-0.4876605261034376
1e-05,1,2,-5.669774125797866e-05,-1.0991898146335228e-05,5.06684828837307e-10,2.122231135170015e-05,-0.5735567098416435
1e-05,1,3,7.334159869106327e-05,-2.5585484625953794e-06,8.326035189943744e-10,2.7795471687781618e-05,-0.054917862080461455
1e-05,1,4,0.00014233876333184401,1.1931182716848558e-05,1.1195951054127705e-09,3.281430843011088e-05,0.16872778988153825
1e-05,1,5,-0.0002677532219516779,-1.603725775000409e-05,1.5892273980047875e-09,3.925936229382016e-05,-0.6169144326295435
1e-05,1,6,6.944515130542302e-05,-7.48901684446138e-06,1.918003551498577e-09,4.3338390759982623e-05,-0.36265187947855665
1e-05,1,7,-6.020316502880722e-05,-1.2760431662895962e-05,2.2239895061823873e-09,4.68062466209057e-05,-0.42976846641498234
1e-05,1,8,-0.00016669824934231346,-2.81542134308377e-05,2.4519163898538287e-09,4.9050370472078883e-05,-0.679443583252511
1e-05,1,9,-0.00011656201402300816,-3.699499349005474e-05,2.7454054779099624e-09,5.198673912774562e-05,-0.8173673548623401
1e-05,1,10,0.00010094930446366641,-2.320056369468263e-05,3.044697703157364e-09,5.465996708072875e-05,-0.5678355430347988
1e-05,1,11,-7.0911575320532425e-06,-2.1589623078419693e-05,3.467879073362089e-09,5.836253283262371e-05,-0.49940491109818613
1e-05,1,12,-3.2672138667956866e-06,-1.975738215725729e-05,3.725288722232796e-09,6.036578237420304e-05,-0.4159475450110096
1e-05,1,13,8.621785589233824e-05,-9.159858352297744e-06,4.137939068088082e-09,6.371945778000797e-05,-0.2175640082563899
1e-05,1,14,0.0001876241079031165,1.051853827324368e-05,4.46624451355818e-09,6.631294433795608e-05,0.07727626054758735
1e-05,1,15,-0.0001318547453097283,-3.718790085053521e-06,4.8470579693712e-09,6.903109238019147e-05,-0.11951575530614578
1e-05,1,16,0.00023087026204914507,1.974011512836633e-05,5.256013801390414e-09,7.195538199102816e-05,0.16916335101091817
